Task,Language,Library,Payload,Memory_Used_MB_Average,Memory_Used_MB_Median,Memory_Used_MB_Std_Dev,Billed_Duration_MS_Average,Billed_Duration_MS_Median,Billed_Duration_MS_Std_Dev,Billed_Duration_Init_Value
csvjson,node,csvtojson,1,110.25,112.0,3.031088913245535,213.33499999999998,200.595,46.6111920572731,360.47
sort,python,plain,0,39.0,39.0,0.0,1.8050000000000002,1.775,0.11629703349613009,2.40
sort,python,plain,1,42.0,42.0,0.0,268.58000000000004,264.51,11.677249248003584,278.92
sort,python,plain,2,62.5,62.5,0.5,2869.4925,2863.54,13.356763034133753,2998.12
sort,node,plain,0,64.0,64.0,0.0,1.65,1.54,0.21610182784974308,13.18
sort,node,plain,1,74.0,74.0,1.5811388300841898,90.495,75.92500000000001,29.217308654289152,205.92
sort,node,plain,2,107.0,108.0,1.7320508075688772,978.31,959.71,71.45545500519886,1231.44
fib,python,plain,0,38.75,39.0,0.4330127018922193,1.575,1.475,0.2594706149065824,1.84
fib,node,plain,0,87.0,87.0,0.0,50.9225,1.49,85.72933435382546,2.64
fft,python,nump,0,63.0,63.0,0.0,35.582499999999996,34.705,4.952051973677173,33.81
fft,python,nump,1,67.0,67.0,0.0,483.7875,484.905,3.231898629288974,504.85
fft,python,nump,2,106.5,106.5,0.5,4890.29,4888.895,39.07046518791391,5242.47
fft,node,fftjs,0,74.75,75.0,0.4330127018922193,43.50750000000001,33.425,40.84508561320444,281.03
fft,node,fftjs,1,101.25,100.0,2.165063509461097,966.5925,963.24,145.37840114250122,1669.81
fft,node,fftjs,2,198.75,199.5,5.584576975922169,11579.215,11583.55,175.76197747237632,12281.84
